每周学习时长（小时）,专业,性别,期中考试分数,期末考试分数,上课出勤率
17.77,工商管理,男,81.42,78.89,90.0
11.16,人工智能,男,100.0,82.74,94.0
13.15,财务管理,男,82.5,77.71,77.0
17.62,人工智能,女,83.98,88.71,82.0
21.78,电子商务,男,97.87,85.12,85.0
19.03,财务管理,男,49.41,55.07,78.0
36.41,财务管理,女,56.43,81.43,75.0
26.98,工商管理,女,78.36,82.25,83.0
25.37,工商管理,男,27.27,45.98,74.0
15.87,人工智能,男,75.42,75.07,77.0
19.63,电子商务,男,89.51,77.94,95.0
31.14,人工智能,女,100.0,89.13,92.0
17.61,电子商务,女,82.91,75.74,86.0
16.84,工商管理,女,70.23,54.27,81.0
15.25,人工智能,女,78.11,59.15,87.0
16.81,电子商务,男,100.0,77.99,69.0
16.18,工商管理,女,81.32,65.84,86.0
25.92,大数据管理,男,67.99,74.03,74.0
27.28,电子商务,女,56.87,57.14,64.0
31.74,大数据管理,男,70.95,65.59,78.0
28.38,工商管理,男,83.27,91.17,66.0
15.32,财务管理,女,76.85,67.64,67.0
34.93,工商管理,男,70.34,78.57,95.0
30.36,人工智能,男,76.18,66.55,76.0
7.77,电子商务,男,76.29,57.64,66.0
17.59,工商管理,女,99.24,81.96,63.0
21.66,人工智能,女,62.57,57.62,70.0
18.5,工商管理,男,63.57,71.11,82.0
23.65,工商管理,女,75.49,70.1,68.0
31.16,大数据管理,男,72.47,76.26,96.0
17.13,大数据管理,女,100.0,80.66,93.0
17.59,电子商务,男,62.88,78.37,81.0
15.12,电子商务,男,72.0,65.87,75.0
27.87,电子商务,男,82.59,74.08,85.0
24.9,人工智能,女,74.8,81.87,80.0
22.85,工商管理,男,71.79,67.08,97.0
21.16,工商管理,女,83.65,78.81,86.0
12.57,电子商务,女,76.68,54.85,98.0
18.52,电子商务,女,69.88,53.39,62.0
16.7,大数据管理,男,77.52,69.22,65.0
13.87,工商管理,男,98.92,90.02,93.0
20.56,工商管理,女,69.53,72.93,92.0
7.66,财务管理,男,90.23,73.21,92.0
28.78,财务管理,女,87.5,78.47,65.0
18.72,财务管理,女,71.0,55.88,70.0
20.79,财务管理,女,72.24,68.59,90.0
26.22,人工智能,女,57.79,62.74,82.0
15.95,工商管理,男,74.93,79.89,93.0
12.73,大数据管理,女,84.53,79.99,96.0
14.53,工商管理,男,80.36,56.99,77.0
37.18,人工智能,女,53.35,67.09,62.0
5.0,电子商务,男,68.67,57.72,72.0
18.34,人工智能,男,58.78,60.04,100.0
19.35,大数据管理,女,61.3,66.48,64.0
14.87,工商管理,男,68.59,76.25,77.0
5.0,财务管理,女,93.32,82.99,68.0
11.46,电子商务,女,100.0,75.72,85.0
21.1,财务管理,女,77.22,69.41,61.0
10.11,大数据管理,男,58.35,64.57,95.0
5.22,人工智能,女,70.18,74.07,82.0
11.74,大数据管理,女,63.5,58.36,82.0
29.59,工商管理,女,93.21,87.37,84.0
19.19,电子商务,男,87.47,74.1,98.0
21.55,电子商务,男,76.86,62.13,73.0
16.68,工商管理,男,62.38,72.76,93.0
29.02,人工智能,女,61.37,80.35,98.0
11.45,工商管理,男,77.31,70.23,89.0
11.86,电子商务,男,81.1,79.02,86.0
11.77,电子商务,男,86.2,76.83,66.0
28.24,大数据管理,女,100.0,85.42,98.0
18.14,人工智能,女,68.39,69.9,72.0
19.61,财务管理,女,76.48,86.15,80.0
14.03,人工智能,女,71.93,68.2,80.0
22.16,人工智能,女,100.0,98.09,85.0
17.64,人工智能,女,80.9,55.9,98.0
36.71,大数据管理,女,84.8,89.77,72.0
15.88,人工智能,女,76.17,74.11,95.0
12.7,人工智能,男,71.53,66.13,89.0
27.25,人工智能,男,61.27,71.0,94.0
17.28,工商管理,女,83.55,58.55,64.0
14.85,人工智能,男,60.81,59.48,86.0
28.14,财务管理,男,65.22,76.13,94.0
7.66,人工智能,男,64.43,76.77,99.0
27.81,电子商务,女,34.29,54.08,89.0
35.31,电子商务,女,67.56,70.96,67.0
20.59,大数据管理,女,76.71,66.86,69.0
17.36,大数据管理,女,59.65,69.99,87.0
20.63,人工智能,女,77.24,77.31,75.0
32.07,人工智能,男,67.26,67.72,68.0
27.28,电子商务,男,74.78,79.16,80.0
18.69,人工智能,女,78.18,71.63,69.0
25.72,财务管理,女,77.34,84.49,75.0
19.51,财务管理,男,61.07,54.99,65.0
30.87,大数据管理,男,60.01,65.01,64.0
24.79,财务管理,男,69.45,66.49,71.0
22.72,财务管理,男,74.86,61.66,73.0
27.36,工商管理,男,88.88,88.15,93.0
16.72,财务管理,男,84.32,79.35,99.0
7.64,财务管理,女,100.0,81.9,88.0
23.58,大数据管理,女,88.69,79.41,92.0
24.62,财务管理,女,71.35,63.99,83.0
26.72,电子商务,男,61.48,64.57,78.0
12.61,工商管理,男,60.69,54.88,70.0
34.29,大数据管理,女,94.84,82.37,83.0
17.28,工商管理,男,66.85,64.82,65.0
20.04,工商管理,男,76.13,77.9,89.0
22.1,电子商务,男,78.73,87.67,61.0
24.63,财务管理,女,57.21,69.51,92.0
28.0,人工智能,女,50.88,65.32,78.0
22.34,财务管理,男,61.9,63.32,71.0
18.56,工商管理,女,73.62,58.27,95.0
32.99,大数据管理,男,66.13,74.66,81.0
12.96,大数据管理,女,81.58,71.2,80.0
14.68,工商管理,女,62.73,86.38,83.0
25.01,大数据管理,男,61.98,69.22,95.0
21.86,电子商务,男,54.81,63.05,78.0
7.85,大数据管理,男,88.15,71.9,70.0
32.92,大数据管理,男,69.41,68.9,89.0
14.51,电子商务,女,71.98,80.39,95.0
27.93,大数据管理,女,44.52,69.52,95.0
10.64,人工智能,男,26.66,51.12,95.0
23.51,大数据管理,男,66.43,64.61,79.0
15.06,财务管理,男,92.77,95.27,99.0
28.54,大数据管理,女,41.66,50.26,93.0
32.89,财务管理,女,76.71,85.58,95.0
18.06,大数据管理,女,68.26,85.73,75.0
25.5,电子商务,男,51.34,53.05,60.0
8.38,财务管理,男,88.97,69.98,90.0
16.05,人工智能,男,100.0,85.93,92.0
18.59,大数据管理,女,62.18,58.08,74.0
15.87,大数据管理,女,68.17,52.99,74.0
14.74,电子商务,女,89.54,75.57,63.0
23.63,人工智能,男,66.21,61.77,75.0
10.18,大数据管理,男,95.81,86.34,95.0
26.15,财务管理,男,62.1,57.32,63.0
13.83,财务管理,女,62.87,75.55,63.0
26.84,工商管理,女,74.83,71.89,80.0
14.67,工商管理,女,64.05,62.59,94.0
10.4,财务管理,男,69.8,72.33,86.0
24.52,财务管理,男,70.68,62.66,91.0
30.67,人工智能,女,100.0,93.27,86.0
23.48,财务管理,女,65.4,82.04,86.0
16.69,大数据管理,女,76.82,60.39,95.0
15.86,电子商务,男,57.15,65.17,93.0
13.56,电子商务,男,58.64,60.73,67.0
25.21,电子商务,男,83.67,84.34,85.0
19.25,大数据管理,女,68.68,61.01,90.0
20.63,电子商务,男,73.84,61.8,90.0
31.62,大数据管理,男,67.64,76.14,65.0
11.22,电子商务,男,79.45,75.2,93.0
19.48,财务管理,男,83.88,77.5,74.0
19.32,财务管理,男,69.87,73.66,90.0
12.3,大数据管理,男,89.29,68.81,77.0
13.42,财务管理,男,68.19,65.33,68.0
22.07,电子商务,女,93.16,81.71,60.0
15.7,大数据管理,男,73.66,63.54,89.0
11.08,电子商务,男,56.85,71.12,66.0
17.41,财务管理,女,60.16,66.93,81.0
20.73,人工智能,男,66.65,57.16,62.0
20.34,大数据管理,女,55.92,66.39,74.0
16.55,电子商务,男,82.59,63.63,67.0
32.26,财务管理,男,98.36,99.86,99.0
22.58,工商管理,男,63.89,74.22,66.0
18.54,人工智能,女,57.04,54.29,69.0
5.0,财务管理,女,81.93,77.87,76.0
22.01,人工智能,女,97.86,88.31,69.0
18.01,工商管理,女,96.03,88.35,80.0
28.56,电子商务,女,74.92,91.48,99.0
22.62,电子商务,女,100.0,83.88,67.0
20.91,大数据管理,女,100.0,77.23,72.0
5.0,大数据管理,男,58.12,44.49,67.0
36.28,财务管理,男,71.12,74.77,97.0
26.29,财务管理,女,66.57,69.46,66.0
23.05,财务管理,女,69.45,70.89,62.0
19.76,人工智能,女,52.12,66.18,91.0
19.87,人工智能,女,59.78,72.52,74.0
25.56,大数据管理,男,92.01,84.96,97.0
25.25,大数据管理,女,58.52,76.85,90.0
